FILENAME	REAL_LABEL	PREDICTED_LABELS
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_10_6.jpg	0	0.0269210748374;0.0133511563763;1.90897571883e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_10_3.jpg	0	0.186712920666;0.00155854853801;3.23210224451e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_09_7.jpg	0	0.00639920961112;0.0146741969511;3.06085676129e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_10_9.jpg	0	0.587729990482;0.000110672473966;9.77760792011e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_09_11.jpg	0	0.507118821144;0.000150042003952;9.15009950404e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_T_e_s_01_12.jpg	0	0.605035007;0.000106124163722;0.000106220504676
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_T_e_s_01_14.jpg	0	0.554423987865;0.00014358072076;8.82549138623e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_10_2.jpg	0	0.573272228241;0.000113461574074;0.000101969737443
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_T_e_s_02_14.jpg	0	0.0301451012492;0.00665867934003;2.33162299992e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_09_6.jpg	0	0.235022306442;0.000251867953921;8.39277854539e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_10_13.jpg	0	0.604394435883;0.000108404652565;0.00010461689817
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_10_15.jpg	0	0.516383826733;0.000211724254768;7.12620603736e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_T_e_s_02_2.jpg	0	0.00582002056763;0.0240971781313;2.2348096536e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_T_e_s_01_19.jpg	0	0.478210389614;0.000145226425957;8.55659745866e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_09_4.jpg	0	0.106097593904;0.00051259493921;6.3734863943e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_09_9.jpg	0	0.17810113728;0.000539414235391;5.35336366738e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_T_e_s_01_18.jpg	0	0.599230468273;0.000104113540146;0.000106895946374
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_T_e_s_01_7.jpg	0	0.00653179781511;0.0107954954728;3.72819777112e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_10_11.jpg	0	0.597763955593;0.000112802197691;0.000101812074718
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_T_e_s_01_6.jpg	0	0.589944899082;0.000101981662738;0.000107035368274
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_09_2.jpg	0	0.000103340047644;0.399514824152;3.8659771235e-05
/home/mpba/Documents/wv2016/deepLearning/datasets/so4_v/early/so4_L_e_s_09_0.jpg	0	0.366279453039;0.000245074450504;6.83537582518e-05
