FILENAME	REAL_LABEL	PREDICTED_LABELS
/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_L_e_b_002.jpg	0	0.522074520588;0.000109125285235;0.000122618672322
/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_V_e_b_002.jpg	0	0.565886497498;9.71817644313e-05;0.00011949607142
/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_V_e_b_005.jpg	0	0.591925740242;0.000108458480099;0.000108991131128
/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_V_e_b_004.jpg	0	0.555750846863;0.000112128138426;0.00010572586325
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_004.jpg	1	4.56298221252e-05;0.541008770466;4.94809391967e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_003.jpg	1	4.5021835831e-05;0.539968550205;5.03024130012e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_gb_002.jpg	1	4.46810445283e-05;0.544165194035;5.05433890794e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_009.jpg	1	4.54705696029e-05;0.513806164265;5.04131276102e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_001.jpg	1	4.46228405053e-05;0.546366989613;5.16763175256e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_007.jpg	1	4.56748421129e-05;0.532248198986;5.02599032188e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_002.jpg	1	4.56155867141e-05;0.540776610374;4.95299864269e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_gb_001.jpg	1	4.4691383664e-05;0.54415422678;5.05364041601e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_gb_005.jpg	1	4.55861700175e-05;0.547973275185;5.03127557749e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_gb_003.jpg	1	4.50086263299e-05;0.545675575733;5.04365561937e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_gb_004.jpg	1	4.46810445283e-05;0.544165253639;5.05433890794e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_008.jpg	1	4.42740347353e-05;0.500668406487;5.69113253732e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_004.jpg	1	4.19746102125e-05;0.498749524355;5.53828394914e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_007.jpg	1	4.6813616791e-05;0.521884143353;4.95853200846e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_gb_001.jpg	1	4.55963236163e-05;0.547975480556;5.03119590576e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_002.jpg	1	4.26112965215e-05;0.489983528852;5.78150211368e-05
/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_L_l_b_005.jpg	2	6.88061554683e-05;8.15155290184e-05;0.512719929218
