FILENAME,DATASET,CLASS,CAMERA,CONF,VARIETY,SOSQ,SOMQ,CAT,FILEPATH
so1_L_e_b_001.jpg,so1,E,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_L_e_b_001.jpg
so1_L_e_b_002.jpg,so1,E,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_L_e_b_002.jpg
so1_V_e_b_001.jpg,so1,E,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_V_e_b_001.jpg
so1_V_e_b_002.jpg,so1,E,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_V_e_b_002.jpg
so1_V_e_b_003.jpg,so1,E,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_V_e_b_003.jpg
so1_V_e_b_004.jpg,so1,E,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_V_e_b_004.jpg
so1_V_e_b_005.jpg,so1,E,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/early/so1_V_e_b_005.jpg
so1_L_g_b_001.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_001.jpg
so1_L_g_b_002.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_002.jpg
so1_L_g_b_003.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_003.jpg
so1_L_g_b_004.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_004.jpg
so1_L_g_b_005.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_005.jpg
so1_L_g_b_006.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_006.jpg
so1_L_g_b_007.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_007.jpg
so1_L_g_b_008.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_008.jpg
so1_L_g_b_009.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_009.jpg
so1_L_g_b_010.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_010.jpg
so1_L_g_b_011.jpg,so1,G,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_b_011.jpg
so1_L_g_gb_001.jpg,so1,G,NA,GB,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_gb_001.jpg
so1_L_g_gb_002.jpg,so1,G,NA,GB,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_L_g_gb_002.jpg
so1_V_g_b_001.jpg,so1,G,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_001.jpg
so1_V_g_b_002.jpg,so1,G,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_002.jpg
so1_V_g_b_003.jpg,so1,G,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_003.jpg
so1_V_g_b_004.jpg,so1,G,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_004.jpg
so1_V_g_b_005.jpg,so1,G,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_005.jpg
so1_V_g_b_006.jpg,so1,G,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_006.jpg
so1_V_g_b_007.jpg,so1,G,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_007.jpg
so1_V_g_b_008.jpg,so1,G,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_b_008.jpg
so1_V_g_gb_001.jpg,so1,G,NA,GB,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_gb_001.jpg
so1_V_g_gb_002.jpg,so1,G,NA,GB,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_gb_002.jpg
so1_V_g_gb_003.jpg,so1,G,NA,GB,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_gb_003.jpg
so1_V_g_gb_004.jpg,so1,G,NA,GB,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_gb_004.jpg
so1_V_g_gb_005.jpg,so1,G,NA,GB,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/good/so1_V_g_gb_005.jpg
so1_L_l_b_001.jpg,so1,L,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_L_l_b_001.jpg
so1_L_l_b_002.jpg,so1,L,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_L_l_b_002.jpg
so1_L_l_b_003.jpg,so1,L,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_L_l_b_003.jpg
so1_L_l_b_004.jpg,so1,L,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_L_l_b_004.jpg
so1_L_l_b_005.jpg,so1,L,NA,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_L_l_b_005.jpg
so1_L_l_gb_001.jpg,so1,L,NA,GB,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_L_l_gb_001.jpg
so1_L_l_gb_002.jpg,so1,L,NA,GB,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_L_l_gb_002.jpg
so1_V_l_b_001.jpg,so1,L,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_V_l_b_001.jpg
so1_V_l_b_002.jpg,so1,L,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_V_l_b_002.jpg
so1_V_l_b_003.jpg,so1,L,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_V_l_b_003.jpg
so1_V_l_b_004.jpg,so1,L,NA,B,Vajolet,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so1/late/so1_V_l_b_004.jpg
so2_L_t_e_b_001.jpg,so2,E,Fr,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_b_001.jpg
so2_L_t_e_b_002.jpg,so2,E,Fr,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_b_002.jpg
so2_L_t_e_b_003.jpg,so2,E,Fr,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_b_003.jpg
so2_L_t_e_b_004.jpg,so2,E,Fr,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_b_004.jpg
so2_L_t_e_b_005.jpg,so2,E,Fr,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_b_005.jpg
so2_L_t_e_b_006.jpg,so2,E,Fr,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_b_006.jpg
so2_L_t_e_b_007.jpg,so2,E,Fr,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_b_007.jpg
so2_L_t_e_b_008.jpg,so2,E,Fr,B,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_b_008.jpg
so2_L_t_e_g_001.jpg,so2,E,Fr,G,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_g_001.jpg
so2_L_t_e_g_002.jpg,so2,E,Fr,G,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_g_002.jpg
so2_L_t_e_gb_001.jpg,so2,E,Fr,GB,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_gb_001.jpg
so2_L_t_e_s_001.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_001.jpg
so2_L_t_e_s_002.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_002.jpg
so2_L_t_e_s_003.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_003.jpg
so2_L_t_e_s_004.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_004.jpg
so2_L_t_e_s_005.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_005.jpg
so2_L_t_e_s_006.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_006.jpg
so2_L_t_e_s_007.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_007.jpg
so2_L_t_e_s_008.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_008.jpg
so2_L_t_e_s_009.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_009.jpg
so2_L_t_e_s_010.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_010.jpg
so2_L_t_e_s_011.jpg,so2,E,Fr,S,Lagorai,NA,NA,NA,/home/webvalley/deepLearning/data/images/datasets_new/so2/train/early/so2_L_t_e_s_011.jpg
